"treatment_id","subject_id","paper_id","gender","age","scenarios","KW_Normative","Game_type","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal","Design"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,1,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,3,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,4,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,5,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,6,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,7,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,8,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,9,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aaar13","2020Bas115",1,74,10,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,3,0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,4,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,5,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,7,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,8,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,9,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aahr03","2020Bas115",1,24,10,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,1,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,2,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,3,-0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,4,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,5,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,6,1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,7,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,8,0.6,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,9,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aavr09","2020Bas115",1,22,10,-0.3,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,0,-1,"DG",NA,NA,NA,NA,"Within"
"2020Bas115_1a","2020Bas115_1a_aawo25","2020Bas115",0,36,1,-1,"DG",NA,NA,NA,NA,"Within"
